,additionalInfo/Service options/0/Delivery,address,categories/0,categoryName,cid,city,claimThisBusiness,countryCode,fid,imageUrl,imagesCount,isAdvertisement,location/lat,location/lng,neighborhood,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,permanentlyClosed,phone,phoneUnformatted,placeId,postalCode,rank,reviewsCount,scrapedAt,searchPageUrl,searchString,state,street,subTitle,temporarilyClosed,title,totalScore,url,cleaned_street,cleaned_address
5,True,"Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom, B Wing, Worli, Mumbai, Maharashtra 400030, India",Grocery store,Grocery store,14863145760372122912,Mumbai,False,IN,0x3be7cf03ec8243b1:0xce4480521bd56520,https://lh5.googleusercontent.com/p/AF1QipMVfgjUuC4_AjB-BwP8p0RRvDUl513LeqlCJ98M=w408-h272-k-no,51.0,False,19.0027721,72.8155206,"B Wing, Worli",Monday,6:45 AM to 11 PM,Tuesday,6:45 AM to 11 PM,Wednesday,6:45 AM to 11 PM,Thursday,6:45 AM to 11 PM,Friday,6:45 AM to 11 PM,Saturday,6:45 AM to 11 PM,Sunday,6:45 AM to 11 PM,False,+91 78080 74040,917808074040.0,ChIJsUOC7APP5zsRIGXVG1KARM4,400030.0,1,48,2024-09-22T16:37:15.483Z,"https://www.google.com/maps/search/grocery/@18.99726247023725,72.81271501915576,16z?hl=en",grocery,Maharashtra,"Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom",राखांगिस 7 लप (कन्व्हेअन्स स्टोर),False,Rakhangi's 7 LLP (Convenience Store),4.5,https://www.google.com/maps/search/?api=1&query=Rakhangi's%207%20LLP%20(Convenience%20Store)&query_place_id=ChIJsUOC7APP5zsRIGXVG1KARM4,"Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom","Shop no. 4, Alankar Building, Dr Annie Besant Rd, nr. Kalki showroom, B Wing, Worli, Mumbai, Maharashtra 400030, India"
6,True,"262, Bapty Rd, Navjeevan Society, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India",Indian grocery store,Indian grocery store,11868546536258091341,Mumbai,True,IN,0x3be7ce14de189aaf:0xa4b58c3145db394d,https://lh5.googleusercontent.com/p/AF1QipPcS8xn3amfrR-Jl6BgIuRoDqXDsMR0QAqfcT9f=w408-h306-k-no,4.0,False,18.963671,72.8246084,"Navjeevan Society, Dalal Estate, Kamathipura",Monday,7 AM to 11 PM,Tuesday,7 AM to 11 PM,Wednesday,7 AM to 11 PM,Thursday,7 AM to 11 PM,Friday,7 AM to 11 PM,Saturday,7 AM to 11 PM,Sunday,7 AM to 11 PM,False,+91 93222 08862,919322208862.0,ChIJr5oY3hTO5zsRTTnbRTGMtaQ,400008.0,3,14,2024-09-22T16:37:15.439Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"262, Bapty Rd",मर्चंट स्टोर,False,Merchant Store,4.1,https://www.google.com/maps/search/?api=1&query=Merchant%20Store&query_place_id=ChIJr5oY3hTO5zsRTTnbRTGMtaQ,"262, Bapty Rd","262, Bapty Rd, Navjeevan Society, Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008, India"
7,True,"Shop No. 14, Rangwala Building, Fancy Market, Red Cross St, Nagpada, Agripada, Mumbai, Maharashtra 400011, India",Grocery store,Grocery store,5835992941414124280,Mumbai,False,IN,0x3be7ce683906fc4b:0x50fd9ca8e8ad0af8,https://lh5.googleusercontent.com/p/AF1QipMnp7HvDecSUeSHE7iJQgTni2GrKaalBLvT1TPR=w408-h306-k-no,41.0,False,18.9748253,72.8266552,"Nagpada, Agripada",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,False,+91 98210 04623,919821004623.0,ChIJS_wGOWjO5zsR-Aqt6Kic_VA,400011.0,5,50,2024-09-22T16:37:15.333Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Shop No. 14, Rangwala Building, Fancy Market, Red Cross St",गोल्डन अत्ता,False,Golden atta,5.0,https://www.google.com/maps/search/?api=1&query=Golden%20atta&query_place_id=ChIJS_wGOWjO5zsR-Aqt6Kic_VA,"Shop No. 14, Rangwala Building, Fancy Market, Red Cross St","Shop No. 14, Rangwala Building, Fancy Market, Red Cross St, Nagpada, Agripada, Mumbai, Maharashtra 400011, India"
14,True,"shop no. 3, Shiv krupa stores, B wing, Balkrishna Nakashe Marg, Janata Nagar, Tardeo, Mumbai, Maharashtra 400034, India",Grocery store,Grocery store,12601695435270886420,Mumbai,False,IN,0x3be7cfcbabc7b76f:0xaee2373b52fb9414,https://lh5.googleusercontent.com/p/AF1QipMDjYNerzNNzahG9HuoDFrgsOK_u1OXy9WX_Pdk=w408-h749-k-no,4.0,False,18.97235,72.8131217,"Janata Nagar, Tardeo",Monday,8 AM to 9 PM,Tuesday,8 AM to 9 PM,Wednesday,8 AM to 9 PM,Thursday,8 AM to 9 PM,Friday,8 AM to 9 PM,Saturday,8 AM to 9 PM,Sunday,8 AM to 9 PM,False,+91 98929 74410,919892974410.0,ChIJb7fHq8vP5zsRFJT7Ujs34q4,400034.0,6,15,2024-09-22T16:37:15.439Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"shop no. 3, Shiv krupa stores, B wing, Balkrishna Nakashe Marg",श्री शिव कृपा स्टोर्स (सुपरमार्केट),False,Shri Shiv krupa Stores (Supermarket),4.9,https://www.google.com/maps/search/?api=1&query=Shri%20Shiv%20krupa%20Stores%20(Supermarket)&query_place_id=ChIJb7fHq8vP5zsRFJT7Ujs34q4,"shop no. 3, Shiv krupa stores, B wing, Balkrishna Nakashe Marg","shop no. 3, Shiv krupa stores, B wing, Balkrishna Nakashe Marg, Janata Nagar, Tardeo, Mumbai, Maharashtra 400034, India"
17,True,"XR57+MCJ, Gamdevi Rd, Gamdevi, Mumbai, Maharashtra 400007, India",Supermarket,Supermarket,8290409276157713155,Mumbai,True,IN,0x3be7ce0dcf9a2fe3:0x730d734febfbdb03,https://lh5.googleusercontent.com/p/AF1QipOf82PLFnLDY5OVAbnpCrVuwUwWwOkd7OPCWJmk=w426-h240-k-no,4.0,False,18.9592211,72.8135311,Gamdevi,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 9 PM,False,+91 22 2381 3657,912223813657.0,ChIJ4y-azw3O5zsRA9v7609zDXM,400007.0,7,24,2024-09-22T16:37:15.439Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"XR57+MCJ, Gamdevi Rd",विष्णु सुपर मार्केट,False,Visha Super Market,3.8,https://www.google.com/maps/search/?api=1&query=Visha%20Super%20Market&query_place_id=ChIJ4y-azw3O5zsRA9v7609zDXM,"XR57+MCJ, Gamdevi Rd","XR57+MCJ, Gamdevi Rd, Gamdevi, Mumbai, Maharashtra 400007, India"
18,True,"Fancy Market, Morland Rd, 400011, Agripada, Mumbai, Maharashtra 400011, India",Indian grocery store,Indian grocery store,16480238341450715458,Mumbai,False,IN,0x3be7ce683f04bde7:0xe4b591749bf15142,https://lh5.googleusercontent.com/p/AF1QipNcYHWXWk-VmebmYsB5RumEFTRZ2np4H1Ag6rF-=w426-h240-k-no,4.0,False,18.9751271,72.8265952,Agripada,Monday,9 AM to 9 PM,Tuesday,9 AM to 9 PM,Wednesday,9 AM to 9 PM,Thursday,9 AM to 9 PM,Friday,9 AM to 9 PM,Saturday,9 AM to 9 PM,Sunday,9 AM to 9 PM,False,+91 70214 90319,917021490319.0,ChIJ570EP2jO5zsRQlHxm3SRteQ,400011.0,9,28,2024-09-22T16:37:15.334Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Fancy Market, Morland Rd, 400011",कोहिनूर मसाला आणि किराणा स्टोअर,False,Kohinoor Masala & Kirana Store,4.6,https://www.google.com/maps/search/?api=1&query=Kohinoor%20Masala%20%26%20Kirana%20Store&query_place_id=ChIJ570EP2jO5zsRQlHxm3SRteQ,"Fancy Market, Morland Rd, 400011","Fancy Market, Morland Rd, 400011, Agripada, Mumbai, Maharashtra 400011, India"
24,True,"Shop Number 7, Dubash Building, Haines Road, Bapurao Jagtap Marg, Byculla (W), Bapurao Jagtap Marg, Municipal Colony, Byculla West, Jacob Circle, Mumbai, Maharashtra 400011, India",Grocery store,Grocery store,1165767572364435293,Mumbai,True,IN,0x3be7ce42daf05bef:0x102da36e39739f5d,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y2OTF9GznzhyZHs1stgY0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=251.00504&pitch=0&thumbfov=100,1.0,False,18.9764593,72.8302121,"Municipal Colony, Byculla West, Jacob Circle",Monday,8:30 AM to 9:30 PM,Tuesday,8:30 AM to 9:30 PM,Wednesday,8:30 AM to 9:30 PM,Thursday,8:30 AM to 9:30 PM,Friday,8:30 AM to 9:30 PM,Saturday,8:30 AM to 9:30 PM,Sunday,8:30 AM to 9:30 PM,False,+91 90296 10079,919029610079.0,ChIJ71vw2kLO5zsRXZ9zOW6jLRA,400011.0,11,12,2024-09-22T16:37:15.334Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Shop Number 7, Dubash Building, Haines Road, Bapurao Jagtap Marg, Byculla (W), Bapurao Jagtap Marg",भायखळा ग्रेन स्टोर,False,Byculla Grain Store,4.7,https://www.google.com/maps/search/?api=1&query=Byculla%20Grain%20Store&query_place_id=ChIJ71vw2kLO5zsRXZ9zOW6jLRA,"Shop Number 7, Dubash Building, Haines Road, Bapurao Jagtap Marg, Byculla (W), Bapurao Jagtap Marg","Shop Number 7, Dubash Building, Haines Road, Bapurao Jagtap Marg, Byculla (W), Bapurao Jagtap Marg, Municipal Colony, Byculla West, Jacob Circle, Mumbai, Maharashtra 400011, India"
29,True,"XRMR+P8W, AG Pawar Marg, Cotton Green West, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400027, India",Indian grocery store,Indian grocery store,2248180897233171429,Mumbai,True,IN,0x3be7ce574935cfa7:0x1f33249d5a66f3e5,https://lh5.googleusercontent.com/p/AF1QipMdVWoi_2qbIlk357LWftz9HBAUi2OD-1Ar1_zm=w408-h544-k-no,4.0,False,18.9843519,72.84083,"Cotton Green West, Ghodapdeo, Byculla East, Byculla",Monday,8 AM to 10 PM,Tuesday,8 AM to 10 PM,Wednesday,8 AM to 10 PM,Thursday,8 AM to 10 PM,Friday,8 AM to 10 PM,Saturday,8 AM to 10 PM,Sunday,Closed,False,+91 99672 08733,919967208733.0,ChIJp881SVfO5zsR5fNmWp0kMx8,400027.0,12,13,2024-09-22T16:37:15.334Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"XRMR+P8W, AG Pawar Marg",कैलाश जनरल स्टोअर,False,Kailash General Store,3.8,https://www.google.com/maps/search/?api=1&query=Kailash%20General%20Store&query_place_id=ChIJp881SVfO5zsR5fNmWp0kMx8,"XRMR+P8W, AG Pawar Marg","XRMR+P8W, AG Pawar Marg, Cotton Green West, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400027, India"
33,True,"New Hind, New Patra Chawl, Maharashtra Housing and Area Development Authority Colony, Byculla East, Byculla, Mumbai, Maharashtra 400027, India",Produce market,Produce market,10148425073097336455,Mumbai,False,IN,0x3be7cfbcb60b26e7:0x8cd672d5d7a26687,https://lh5.googleusercontent.com/p/AF1QipMCgKMFKHo3GB0DUAETcFfTK4osdjy12U1gnqvD=w426-h240-k-no,4.0,False,18.983324,72.8392342,"New Patra Chawl, Maharashtra Housing and Area Development Authority Colony, Byculla East, Byculla",Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,False,+91 84324 32233,918432432233.0,ChIJ5yYLtrzP5zsRh2ai19Vy1ow,400027.0,9,3,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,New Hind,वेजीकेनाइफ - मुंबई,False,Vegknife - Mumbai,4.3,https://www.google.com/maps/search/?api=1&query=Vegknife%20-%20Mumbai&query_place_id=ChIJ5yYLtrzP5zsRh2ai19Vy1ow,New Hind,"New Hind, New Patra Chawl, Maharashtra Housing Area Development Authority Colony, Byculla East, Byculla, Mumbai, Maharashtra 400027, India"
34,True,"Shop No. 49, Ananad Estate, NM Joshi Marg, Chinchpokli (W), Jacob Circle, Mumbai, Maharashtra 400011, India",Grocery store,Grocery store,1959457278048155352,Mumbai,True,IN,0x3be7ce5ee3662d47:0x1b316403429d36d8,https://lh5.googleusercontent.com/p/AF1QipOjBOiO6UsVk1w7iVVdstCni0ndOf2QP31kwXg=w408-h544-k-no,4.0,False,18.9856351,72.8316389,"Chinchpokli (W), Jacob Circle",Monday,9 AM to 10 PM,Tuesday,9 AM to 10 PM,Wednesday,9 AM to 10 PM,Thursday,9 AM to 10 PM,Friday,9 AM to 10 PM,Saturday,9 AM to 10 PM,Sunday,9 AM to 10 PM,False,+91 97021 09191,919702109191.0,ChIJRy1m417O5zsR2DadQgNkMRs,400011.0,16,5,2024-09-22T16:37:15.334Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.82988427305192,16z?hl=en",grocery,Maharashtra,"Shop No. 49, Ananad Estate, NM Joshi Marg",मंगल सुपर मार्केट,False,Mangal Super Market,3.6,https://www.google.com/maps/search/?api=1&query=Mangal%20Super%20Market&query_place_id=ChIJRy1m417O5zsR2DadQgNkMRs,"Shop No. 49, Ananad Estate, NM Joshi Marg","Shop No. 49, Ananad Estate, NM Joshi Marg, Chinchpokli (W), Jacob Circle, Mumbai, Maharashtra 400011, India"
35,True,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters, Mumbai, Maharashtra 400004, India",Grocery store,Grocery store,13499315222925703759,Mumbai,False,IN,0x3be7cffb99f60c89:0xbb5733ac3d827a4f,https://lh5.googleusercontent.com/p/AF1QipPdCoEHMStV8paXUZZ9zFiONGkZ_jJxWbdEJNIZ=w514-h240-k-no,4.0,False,18.9585811,72.8222904,"Charni Road East, Khetwadi, Grant Road",Monday,8 AM to 10 PM,Tuesday,8 AM to 10 PM,Wednesday,8 AM to 10 PM,Thursday,8 AM to 10 PM,Friday,8 AM to 10 PM,Saturday,8 AM to 10 PM,Sunday,8 AM to 10 PM,False,+91 70213 77792,917021377792.0,ChIJiQz2mfvP5zsRT3qCPawzV7s,400004.0,11,10,2024-09-22T16:37:15.439Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.81271501915576,16z?hl=en",grocery,Maharashtra,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters",रेलिअब्ले सुपरमार्केट,False,Reliable Supermarket,4.1,https://www.google.com/maps/search/?api=1&query=Reliable%20Supermarket&query_place_id=ChIJiQz2mfvP5zsRT3qCPawzV7s,"Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters","Shop No.5, R K Patel Building, 190, 1, Nanubhai Desai Rd, opp. Police Quarters, Mumbai, Maharashtra 400004, India"
40,True,"Gaiwadi X Lane No. 7, Below Royal Avenue Tower, Dr Viegas St, Mumbai, Maharashtra 400002, India",Indian grocery store,Indian grocery store,5025471531423628583,Mumbai,True,IN,0x3be7cfea2e11b9e1:0x45be0fbb5357fd27,https://lh5.googleusercontent.com/p/AF1QipPzmHVN-hYHfW3lkXHbcVFiAN9riisi534fHjFm=w408-h271-k-no,2.0,False,18.9490211,72.8273759,"Marine Lines East, Pungeswari, Kalbadevi",Monday,7 AM to 11 PM,Tuesday,7 AM to 11 PM,Wednesday,7 AM to 11 PM,Thursday,7 AM to 11 PM,Friday,7 AM to 11 PM,Saturday,7 AM to 11 PM,Sunday,7 AM to 11 PM,False,+91 79000 80636,917900080636.0,ChIJ4bkRLurP5zsRJ_1XU7sPvkU,400002.0,4,3,2024-09-22T16:37:15.747Z,"https://www.google.com/maps/search/grocery/@18.95931945,72.90252835000001,16z?hl=en",grocery,Maharashtra,"Gaiwadi X Lane No. 7, Below Royal Avenue Tower, Dr Viegas St",द सस्ता स्टोर,False,The Sasta Store,5.0,https://www.google.com/maps/search/?api=1&query=The%20Sasta%20Store&query_place_id=ChIJ4bkRLurP5zsRJ_1XU7sPvkU,"Gaiwadi X Lane No. 7, Royal Avenue Tower, Dr Viegas St","Gaiwadi X Lane No. 7, Royal Avenue Tower, Dr Viegas St, Mumbai, Maharashtra 400002, India"
44,True,"Shop no 1, Diamond Building, R.B Marg, Chaskar Chawl, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India",Indian grocery store,Indian grocery store,6330632998826065317,Mumbai,False,IN,0x3be7ce5a64fc5343:0x57daed2bda64bda5,https://lh5.googleusercontent.com/p/AF1QipOsKOFaBEu23SZPtD1K8P5qTKQ6YfL5lha6E5Y-=w408-h272-k-no,4.0,False,18.9804587,72.8406179,"Chaskar Chawl, Ghodapdeo, Byculla East, Byculla",Monday,7:30 AM to 10 PM,Tuesday,7:30 AM to 10 PM,Wednesday,7:30 AM to 10 PM,Thursday,7:30 AM to 10 PM,Friday,7:30 AM to 10 PM,Saturday,7:30 AM to 10 PM,Sunday,7:30 AM to 10 PM,False,+91 82912 29367,918291229367.0,ChIJQ1P8ZFrO5zsRpb1k2ivt2lc,400033.0,11,28,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"Shop no 1, Diamond Building, R.B Marg",पी॰एम॰ गुप्ता फरसाण मार्ट (सिन्स 1979),False,P.M. Gupta Farsan Mart (since 1979),4.4,https://www.google.com/maps/search/?api=1&query=P.M.%20Gupta%20Farsan%20Mart%20(since%201979)&query_place_id=ChIJQ1P8ZFrO5zsRpb1k2ivt2lc,"Shop 1, Diamond Building, R.B Marg","Shop 1, Diamond Building, R.B Marg, Chaskar Chawl, Ghodapdeo, Byculla East, Byculla, Mumbai, Maharashtra 400033, India"
47,True,"252-56, Bara Imam Rd, Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar, Mumbai, Maharashtra 400003, India",Indian grocery store,Indian grocery store,2959952715920297438,Mumbai,False,IN,0x3be7ce3d994fa707:0x2913dd500861cdde,https://lh5.googleusercontent.com/p/AF1QipMtYYP0F_bh1H_Wg58JX-YkMOWm2YAv-xmsfNzX=w408-h306-k-no,4.0,False,18.9573777,72.8289672,"Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar",Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 7 PM,Sunday,Closed,False,+91 98207 69988,919820769988.0,ChIJB6dPmT3O5zsR3s1hCFDdEyk,400003.0,10,73,2024-09-22T16:37:15.594Z,"https://www.google.com/maps/search/grocery/@18.96477430992091,72.82988427305192,16z?hl=en",grocery,Maharashtra,"252-56, Bara Imam Rd",शा रामजी भावांजी & को॰,False,Sha Ramji Bhavanji & Co.,4.6,https://www.google.com/maps/search/?api=1&query=Sha%20Ramji%20Bhavanji%20%26%20Co.&query_place_id=ChIJB6dPmT3O5zsR3s1hCFDdEyk,"252-56, Bara Imam Rd","252-56, Bara Imam Rd, Ajmer, Jamli Mohalla, Null Bazar, Bhuleshwar, Mumbai, Maharashtra 400003, India"
50,True,"14, Modi Seth Chawl, GD Ambekar Marg, Ambewadi, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India",Indian grocery store,Indian grocery store,4905130633755931911,Mumbai,False,IN,0x3be7cef86cf26351:0x44128652a9e8b507,https://lh5.googleusercontent.com/p/AF1QipPi8bqJA_6DesW8yl-k3pWJaa9pL2Rsz2KCZzfl=w408-h306-k-no,4.0,False,18.99089,72.8413993,"Ambewadi, Kalachowki, Lal Baug, Parel",Monday,8:30 AM to 8:30 PM,Tuesday,8:30 AM to 8:30 PM,Wednesday,8:30 AM to 8:30 PM,Thursday,8:30 AM to 8:30 PM,Friday,8:30 AM to 8:30 PM,Saturday,8:30 AM to 8:30 PM,Sunday,8:30 AM to 1 PM,False,+91 98200 90948,919820090948.0,ChIJUWPybPjO5zsRB7XoqVKGEkQ,400033.0,12,3,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"14, Modi Seth Chawl, GD Ambekar Marg",अपना सुपर मार्केट,False,Apana Super Market,4.7,https://www.google.com/maps/search/?api=1&query=Apana%20Super%20Market&query_place_id=ChIJUWPybPjO5zsRB7XoqVKGEkQ,"14, Modi Seth Chawl, GD Ambekar Marg","14, Modi Seth Chawl, GD Ambekar Marg, Ambewadi, Kalachowki, Lal Baug, Parel, Mumbai, Maharashtra 400033, India"
58,True,"37/2645, Abhyudaya Nagar Rd, Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India",Grocery store,Grocery store,5916295211194715314,Mumbai,True,IN,0x3be7cef86e471aa9:0x521ae726119b0cb2,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEBUgryK7boiFdzBvfzPXwc32t74VFOFkWxo7lWyheCVQpopqH73zseV2twTjGdbcxsG22xjqacml1tXlWjZUCz59iJWY8xvyDxAG32476OyD8-oJx1zFZf2T1DrkB1zJmK74CB21pm7FSk9bxG_d6MM_K8dgAiUQ2Yn0510w7QiSnIlabL2ixFfrgPlQtlhUncjA=w408-h306-k-no,4.0,False,18.9905071,72.8416511,"Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel",Monday,8:30 AM to 9:30 PM,Tuesday,8:30 AM to 9:30 PM,Wednesday,8:30 AM to 9:30 PM,Thursday,8:30 AM to 9:30 PM,Friday,8:30 AM to 9:30 PM,Saturday,8:30 AM to 9:30 PM,Sunday,8:30 AM to 9:30 PM,False,+91 98200 16043,919820016043.0,ChIJqRpHbvjO5zsRsgybESbnGlI,400033.0,13,33,2024-09-22T16:37:15.647Z,"https://www.google.com/maps/search/grocery/@18.98101839007908,72.84705352694807,16z?hl=en",grocery,Maharashtra,"37/2645, Abhyudaya Nagar Rd",गला फूड्स,False,Gala Foods,4.2,https://www.google.com/maps/search/?api=1&query=Gala%20Foods&query_place_id=ChIJqRpHbvjO5zsRsgybESbnGlI,"37/2645, Abhyudaya Nagar Rd","37/2645, Abhyudaya Nagar Rd, Jijamata Nagar, Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Maharashtra 400033, India"
